"name","LL_full","LL_constr","od50constr","od50","Diff","pch","CIl","CIh"
"0",-99.8227503797187,-99.8227506939843,7.88868553616874,7.88881702102797,3.14265676593095e-07,21,7.168,8.4
"1",-53.1414171802841,-72.4239204261925,8.07396819365503,10.4578883671653,19.2825032459083,19,10.08,10.864
"2",-49.9364520201204,-63.8595229040073,9.03661089858884,9.93080879758818,13.9230708838869,19,9.072,9.968
"3",-52.7201247048132,-64.0251398360854,8.10201588486187,10.2123963621319,11.3050151312722,19,9.52,10.864
"4",-60.6460423763188,-66.3761428448245,8.04147884657305,9.92200925639241,5.73010046850565,19,8.96,10.864
"5",-60.2895991815762,-70.8961150764498,8.06346621515597,10.4394824462225,10.6065158948736,19,9.744,11.2
"6",-53.906785647554,-63.1682233778248,8.11661259975172,10.0027504211711,9.26143773027083,19,9.296,10.752
"7",-56.8891899815535,-67.6942115390437,8.06804698390329,10.4057174800263,10.8050215574902,19,9.632,11.2
"11",-44.8376654058403,-74.9651977627131,8.02361873748394,11.1313412313792,30.1275323568728,19,10.976,11.536
"13",-37.7697955356897,-73.6020759010798,7.99990252975845,11.0767326353475,35.8322803653901,19,10.976,11.536
"14",-17.8216786175677,-50.948646748059,10.038861020062,10.5151256553301,33.1269681304913,19,9.968,10.976
"16",-53.5341391509256,-71.0743972637276,8.07796116570527,10.7000782719709,17.540258112802,19,10.192,11.2
"17",-48.4501048405508,-72.1218755692206,8.04939069587345,11.1836476231693,23.6717707286698,19,10.752,11.648
"18",-47.8083189441562,-74.1416592018093,8.04403998990699,10.9833559067079,26.3333402576531,19,10.64,11.2
"20",-47.0132307089612,-69.7051792345044,8.05676973323007,11.020917889071,22.6919485255433,19,10.64,11.424
"21",-50.967215208033,-60.8227231134517,8.18397239622083,9.5871842441459,9.85550790541868,19,9.072,10.192
"22",-51.9370398142453,-62.8987353035765,8.19368583210253,9.5869778062495,10.9616954893312,19,9.072,10.08
"24",-48.2921427636124,-50.3478915699868,8.0171958432753,8.52493346291867,2.05574880637435,19,8.064,9.072
"25",-28.7235355868086,-63.4854781239307,8.19115753127757,10.0553260343734,34.7619425371222,19,9.968,10.416
"26",-46.5853391017264,-68.4262791410562,8.11004434717129,10.2751997386781,21.8409400393297,19,9.856,10.64
"28",-28.8380345631982,-64.3797290102165,8.1261396301291,10.6434270901219,35.5416944470182,19,10.416,11.088
"29",-39.0209171552939,-64.8129713060612,8.16648147371722,10.1251398469596,25.7920541507672,19,9.968,10.416
"30",-46.3910024901516,-67.1931152866919,8.14343167571747,10.0282101616748,20.8021127965403,19,9.856,10.416
"33",-60.6356683831993,-72.2167683199449,8.05426331430684,10.5812400597159,11.5810999367456,19,9.856,11.2
"34",-63.1788200754191,-71.369790036845,7.98166593974733,10.5482457427552,8.19096996142586,19,9.744,11.2
"36",-57.2680296478464,-69.0208523966055,8.10726873588683,10.2089656869441,11.7528227487591,19,9.52,10.976
"37",-51.9973815198373,-69.4232295791475,8.09300957024495,10.0970370628269,17.4258480593102,19,9.968,10.976
"44",-57.1253115707621,-73.4249297899614,8.03001368506343,10.990825751643,16.2996182191993,19,10.528,11.312
"45",-56.3901756562299,-73.1109469923173,8.04024666971897,10.9963258433219,16.7207713360873,19,10.528,11.312
"46",-36.8431220333293,-72.7233635182235,7.99834593155158,11.0847062661692,35.8802414848942,19,10.976,11.984
"47",-44.6629147451661,-74.4986635937095,8.04353676866025,11.0138040846634,29.8357488485433,19,10.864,11.312
"49",-45.6620710487596,-63.2333440761613,8.18472171963644,9.95687883336109,17.5712730274017,19,9.52,10.192
"51",-43.8699040915377,-57.684055839008,9.01823597296078,9.47689323593902,13.8141517474703,19,8.96,10.08
"53",-53.3517687931253,-63.0209097865549,8.17524452282361,9.6700913586773,9.66914099342964,19,9.072,10.304
"54",-46.306899113892,-55.8667681882521,8.60207159639612,9.10486357953698,9.55986907436009,19,8.736,9.52
"55",-43.541721280378,-60.1343284218321,8.28203388307266,9.66635587327973,16.592607141454,19,9.296,10.08
